,fund,department,class_id,total2016,total2017,total2018,total
0,Grants Revenue Fund,Revenue,Purchase of Services,21150000,21425000,26425000,26425000
1,General Fund,City Council,Personal Services,14309858,14309858,14692111,14824858
2,General Fund,City Council,Purchase of Services,1804485,1904485,1904485,1971885
3,General Fund,City Council,"Materials, Supplies, and Equipment",410650,510650,510650,528650
4,General Fund,City Council,"Contributions, Indemnities, Refunds, and Taxes",100,100,100,100
5,General Fund,City Council,Payments to Other Funds,100,100,100,100
6,General Fund,City Council,Advances and Other Misc Payments,100,100,100,100
7,General Fund,Labor Relations,Personal Services,559029,982792,1538459,1562009
8,General Fund,Labor Relations,Purchase of Services,5277,5277,17277,17277
9,General Fund,Labor Relations,"Materials, Supplies, and Equipment",8160,8160,11660,11660
10,General Fund,Mayor's Office,Personal Services,4166124,3410559,3735550,4492862
11,General Fund,Mayor's Office,Purchase of Services,990336,796336,703046,657465
12,General Fund,Mayor's Office,"Materials, Supplies, and Equipment",50165,54245,55545,27841
13,General Fund,Mayor's Office - Scholarships,"Contributions, Indemnities, Refunds, and Taxes",200000,200000,200000,200000
14,General Fund,Office of Innovation and Technology,Personal Services,19900681,20884763,21399109,20817723
15,General Fund,Office of Innovation and Technology,Purchase of Services,54383430,52318443,49396110,66655313
16,General Fund,Office of Innovation and Technology,"Materials, Supplies, and Equipment",9598351,10359058,13332289,14398899
17,General Fund,Mayor's Office of Community Empowerment and Opportunity,Personal Services,,90000,295000,90000
18,General Fund,Mayor's Office of Community Empowerment and Opportunity,Purchase of Services,,605000,1445000,500000
19,General Fund,Atwater Kent Museum,Personal Services,243498,244817,251897,248163
20,General Fund,Atwater Kent Museum,"Contributions, Indemnities, Refunds, and Taxes",50000,50000,50000,50000
21,General Fund,Art Museum,"Contributions, Indemnities, Refunds, and Taxes",2550000,2550000,2550000,2550000
22,General Fund,Mural Arts Program,Personal Services,464216,490401,548987,583401
23,General Fund,Mural Arts Program,Purchase of Services,1181800,1125615,1275615,1375615
24,General Fund,Office of Arts and Culture,Personal Services,201367,312767,319878,312767
25,General Fund,Office of Arts and Culture,Purchase of Services,593800,482400,482400,482400
26,General Fund,Office of Arts and Culture,"Materials, Supplies, and Equipment",7000,7000,7000,7000
27,General Fund,Office of Arts and Culture,"Contributions, Indemnities, Refunds, and Taxes",2070688,3370688,3370688,3370688
28,General Fund,Office of the Inspector General,Personal Services,1470611,1390611,1444811,1533111
29,General Fund,Office of the Inspector General,Purchase of Services,192975,272975,197975,97975
30,General Fund,Office of the Inspector General,"Materials, Supplies, and Equipment",5225,5225,5225,5225
31,General Fund,Mayor - Office of the CAO,Personal Services,,3092731,3986939,4137615
32,General Fund,Mayor - Office of the CAO,Purchase of Services,,1521049,1652049,2015049
33,General Fund,Mayor - Office of the CAO,"Materials, Supplies, and Equipment",,15665,16665,16665
34,General Fund,Mayor - Office of Education,Personal Services,,,,2592084
35,General Fund,Mayor - Office of Education,Purchase of Services,,,,21711818
36,General Fund,Mayor - Office of Education,"Materials, Supplies, and Equipment",,,,45550
37,General Fund,Mayor - Office of Education,"Contributions, Indemnities, Refunds, and Taxes",,,,100000
38,General Fund,Mayor - Planning and Development,Personal Services,,416000,,4676095
39,General Fund,Mayor - Planning and Development,Purchase of Services,,40000,,3366113
40,General Fund,Mayor - Planning and Development,"Materials, Supplies, and Equipment",,60000,,101461
41,General Fund,Finance - Refunds,"Contributions, Indemnities, Refunds, and Taxes",250000,250000,250000,250000
42,General Fund,Mayor - Planning and Development,"Contributions, Indemnities, Refunds, and Taxes",,500000,,4168000
43,General Fund,Managing Director's Office,Personal Services,16316293,18710832,19776006,20342262
44,General Fund,Managing Director's Office,Purchase of Services,60748402,63616032,18662351,23055912
45,General Fund,Managing Director's Office,Purchase of Services,60748402,63616032,47414381,23055912
46,General Fund,Managing Director's Office,Purchase of Services,60748402,63616032,18662351,49025841
47,General Fund,Managing Director's Office,Purchase of Services,60748402,63616032,47414381,49025841
48,General Fund,Managing Director's Office,"Materials, Supplies, and Equipment",538979,665279,767479,1142963
49,General Fund,Fleet Management,Personal Services,16544893,16613280,18009259,18539450
50,General Fund,Fleet Management,Purchase of Services,9604396,9604396,5104396,5104396
51,General Fund,Fleet Management,Purchase of Services,9604396,9604396,4500000,5104396
52,General Fund,Fleet Management,"Materials, Supplies, and Equipment",35428211,34928211,26463211,25418211
53,General Fund,Fleet Management,"Materials, Supplies, and Equipment",35428211,34928211,9465000,25418211
54,General Fund,Fleet Management,"Materials, Supplies, and Equipment",35428211,34928211,26463211,14797739
55,General Fund,Fleet Management,"Materials, Supplies, and Equipment",35428211,34928211,9465000,14797739
56,General Fund,Police,Personal Services,622058347,629443111,631372338,688759185
57,General Fund,Police,Purchase of Services,7262807,7462807,7462807,7462807
58,General Fund,Police,"Materials, Supplies, and Equipment",13417702,13270952,13270952,13270952
59,General Fund,Streets,Personal Services,72724132,72707604,78481768,84297081
60,General Fund,Streets,Purchase of Services,48819455,48989455,49726261,49988914
61,General Fund,Streets,"Materials, Supplies, and Equipment",3809962,3809962,8846224,8317104
62,General Fund,Streets,"Contributions, Indemnities, Refunds, and Taxes",53171,53171,53171,53171
63,General Fund,Fire,Personal Services,196783581,201369162,225242832,244939864
64,General Fund,Fire,Purchase of Services,5895975,5375153,5789667,6046121
65,General Fund,Fire,"Materials, Supplies, and Equipment",7556014,7421014,8541535,8259314
66,General Fund,Public Health,Personal Services,50298254,50960468,54454436,54853461
67,General Fund,Public Health,Purchase of Services,59953424,66382802,73597713,92882896
68,General Fund,Public Health,"Materials, Supplies, and Equipment",5490768,5490768,6343418,8397518
69,General Fund,Public Health,Payments to Other Funds,500000,500000,500000,500000
70,General Fund,Office of Behavioral Health and Intellectual Disabilities,Personal Services,,,,1076779
71,General Fund,Office of Behavioral Health and Intellectual Disabilities,Purchase of Services,,,,13125510
72,General Fund,Parks and Recreation,Personal Services,43429053,43386251,46660211,49347561
73,General Fund,Parks and Recreation,Purchase of Services,9319525,9294525,9294525,9416490
74,General Fund,Parks and Recreation,"Materials, Supplies, and Equipment",2673805,2673805,2673805,2750630
75,General Fund,Parks and Recreation,"Contributions, Indemnities, Refunds, and Taxes",2289500,2314500,2527500,2647500
76,General Fund,Parks and Recreation,Payments to Other Funds,,,,1550000
77,General Fund,Public Property,Personal Services,8400083,8318847,8547886,8659293
78,General Fund,Public Property,Purchase of Services,80503771,79653457,28008008,30163278
79,General Fund,Public Property,Purchase of Services,80503771,79653457,19566102,30163278
80,General Fund,Public Property,Purchase of Services,80503771,79653457,24655024,30163278
81,General Fund,Public Property,Purchase of Services,80503771,79653457,28008008,22457948
82,General Fund,Public Property,Purchase of Services,80503771,79653457,19566102,22457948
83,General Fund,Public Property,Purchase of Services,80503771,79653457,24655024,22457948
84,General Fund,Public Property,Purchase of Services,80503771,79653457,28008008,25008269
85,General Fund,Public Property,Purchase of Services,80503771,79653457,19566102,25008269
86,General Fund,Public Property,Purchase of Services,80503771,79653457,24655024,25008269
87,General Fund,Public Property,"Materials, Supplies, and Equipment",1338535,1338535,1338535,1338535
88,General Fund,Public Property,Payments to Other Funds,23367706,23916920,27554294,27678994
89,General Fund,Public Property - SEPTA Subsidy,Purchase of Services,74215000,79720000,82749000,84776000
90,General Fund,Human Services,Personal Services,24637310,23454344,24201560,27246823
91,General Fund,Human Services,Personal Services,24637310,23454344,24201560,8830135
92,General Fund,Human Services,Purchase of Services,76779935,78896204,83415018,82606805
93,General Fund,Human Services,Purchase of Services,76779935,78896204,83415018,41904815
94,General Fund,Human Services,"Materials, Supplies, and Equipment",1312076,868952,868952,2069970
95,General Fund,Human Services,"Materials, Supplies, and Equipment",1312076,868952,868952,344127
96,General Fund,Human Services,"Contributions, Indemnities, Refunds, and Taxes",,0,,32421
97,General Fund,Prisons,Personal Services,133469579,147301168,147427858,147430918
98,General Fund,Prisons,Purchase of Services,105351301,105455001,105455001,102865387
99,General Fund,Prisons,"Materials, Supplies, and Equipment",4768744,4773744,4773744,4773744
100,General Fund,Prisons,"Contributions, Indemnities, Refunds, and Taxes",1306757,1301757,1301757,1301757
101,General Fund,Licenses and Inspections,Personal Services,19770711,21594751,23019730,23144341
102,General Fund,Licenses and Inspections,Purchase of Services,10261906,10730904,11823061,13579060
103,General Fund,Licenses and Inspections,"Materials, Supplies, and Equipment",1443941,1286464,912475,784475
104,General Fund,L&I  - Board of L&I Review,Personal Services,157354,159201,161349,162284
105,General Fund,L&I  - Board of L&I Review,Purchase of Services,10436,10436,10436,10436
106,General Fund,L&I  - Board of Building Standards,Personal Services,73970,75419,75419,75419
107,General Fund,Records,Personal Services,3058832,3083221,3194935,3084514
108,General Fund,Records,Purchase of Services,1618779,1538779,1538779,1538779
109,General Fund,Records,"Materials, Supplies, and Equipment",143758,143758,143758,143758
110,General Fund,Records,"Contributions, Indemnities, Refunds, and Taxes",1456,1456,1456,1456
111,General Fund,Finance,Personal Services,8801920,6911556,7328177,7765535
112,General Fund,Finance,Purchase of Services,4370961,3029912,3029912,3029912
113,General Fund,Finance,"Materials, Supplies, and Equipment",110774,103109,103109,103109
114,General Fund,Finance,"Contributions, Indemnities, Refunds, and Taxes",3950000,2350000,3690000,3540000
115,General Fund,Finance,Advances and Other Misc Payments,,,,53573000
116,General Fund,Finance - Community College Subsidy,"Contributions, Indemnities, Refunds, and Taxes",30309207,28909207,29909207,31909207
117,General Fund,Finance - Employee Benefits,Personal Services,1172182395,1229284926,1307799345,1352644564
118,General Fund,Finance - Hero Scholarship Awards,"Contributions, Indemnities, Refunds, and Taxes",25000,25000,25000,25000
119,General Fund,Finance - Indemnities,"Contributions, Indemnities, Refunds, and Taxes",38000000,40675000,44920000,45780000
